duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty_level
10,tcp,http,SF,797,13855,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,8,0.04,0.04,0,0,0.91,0.09,0,90,15,0.91,0.09,0,0,0,0,0,0,normal,21
79,tcp,telnet,SF,2131,3832,0,0,0,0,0,1,0,1,1,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,buffer_overflow,9
5,tcp,http,SF,1805,7552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,0.04,0.04,0,0,0.94,0.06,0,37,219,0.97,0.03,0,0,0,0,0,0,normal,21
3,icmp,private,RSTO,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0.1,0.67,0,236,7,0,0.73,0.78,0,0,0,0,0,ipsweep,16
1,udp,domain_u,SF,2169,7906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0.04,0.04,0,0,0.92,0.08,0,172,140,0.89,0.11,0,0,0,0,0,0,normal,21
1,tcp,ftp_data,SF,270,14937,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0.02,0.02,0,0,0.97,0.03,0,198,85,0.92,0.08,0,0,0,0,0,0,normal,21
7,udp,smtp,SF,156,10162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0.05,0.05,0,0,0.93,0.07,0,49,32,1.0,0.0,0,0,0,0,0,0,normal,21
3,icmp,other,SH,100,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0.16,0.6,0,160,9,0,0.7,0.7,0,0,0,0,0,portsweep,14
7,udp,domain_u,SF,1995,14352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.03,0.03,0,0,0.98,0.02,0,149,215,0.91,0.09,0,0,0,0,0,0,normal,21
2,tcp,ftp_data,SF,1922,5922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0.02,0.02,0,0,0.99,0.01,0,136,118,0.99,0.01,0,0,0,0,0,0,normal,21
49,tcp,ftp,SF,412,527,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,ftp_write,12
6,tcp,domain_u,SF,1490,3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0.02,0.02,0,0,0.95,0.05,0,162,154,0.89,0.11,0,0,0,0,0,0,normal,21
5,icmp,other,REJ,65,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0.05,0.65,0,173,7,0,0.52,0.68,0,0,0,0,0,portsweep,12
2,icmp,private,RSTO,50,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0.16,0.91,0,207,2,0,0.66,0.88,0,0,0,0,0,portsweep,18
0,udp,ftp_data,SF,1874,11684,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,4,0.01,0.01,0,0,0.95,0.05,0,127,159,0.97,0.03,0,0,0,0,0,0,normal,21
8,udp,ftp_data,SF,642,14552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.04,0.04,0,0,0.95,0.05,0,142,124,0.88,0.12,0,0,0,0,0,0,normal,21
2,icmp,eco_i,SF,97,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0.09,0.77,0,204,9,0,0.91,0.68,0,0,0,0,0,portsweep,17
